#Energy_(eV) f1 f2
4.966354890169397549e+03 -6.098013178192976724e+00 4.930101619560843806e-01
4.966602937656207359e+03 -6.124926217269251794e+00 4.953952461451027189e-01
4.966850985143015350e+03 -6.153625596470455150e+00 4.981461079018576488e-01
4.967099032629825160e+03 -6.183411318423232217e+00 5.017638086210832737e-01
4.967347080116634970e+03 -6.215408222347936551e+00 5.067926583658145523e-01
4.967595127603442961e+03 -6.248487212034511629e+00 5.140777587039868646e-01
4.967843175090252771e+03 -6.284658702686752640e+00 5.241589353298954368e-01
4.968091222577062581e+03 -6.320220348309813829e+00 5.434388077953292706e-01
4.968339270063870572e+03 -6.347298546429537502e+00 5.676131931560999266e-01
4.968587317550680382e+03 -6.364428456860533601e+00 5.919932280769717448e-01
4.968835365037490192e+03 -6.368987650984625049e+00 6.071217752209537855e-01
